InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
20725,LUNCH BAG RED RETROSPOT,10,12-01-2010 09:37,1.65,14688,United Kingdom
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12-01-2010 09:37,2.55,14688,United Kingdom
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12-01-2010 09:37,2.55,14688,United Kingdom
21212,PACK OF 72 RETROSPOT CAKE CASES,120,12-01-2010 09:37,0.42,14688,United Kingdom
21975,PACK OF 60 DINOSAUR CAKE CASES,24,12-01-2010 09:37,0.55,14688,United Kingdom
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12-01-2010 09:37,0.55,14688,United Kingdom
84991,60 TEATIME FAIRY CAKE CASES,24,12-01-2010 09:37,0.55,14688,United Kingdom
84519A,TOMATO CHARLIE+LOLA COASTER SET,6,12-01-2010 09:37,2.95,14688,United Kingdom
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,12-01-2010 09:37,1.25,14688,United Kingdom
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,12-01-2010 09:37,0.38,14688,United Kingdom
21931,JUMBO STORAGE BAG SUKI,10,12-01-2010 09:37,1.95,14688,United Kingdom
21929,JUMBO BAG PINK VINTAGE PAISLEY,10,12-01-2010 09:37,1.95,14688,United Kingdom
22961,JAM MAKING SET PRINTED,24,12-01-2010 09:41,1.45,17809,United Kingdom
22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,12-01-2010 09:41,4.25,15311,United Kingdom
84854,GIRLY PINK TOOL SET,5,12-01-2010 09:41,4.95,15311,United Kingdom
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12-01-2010 09:41,1.95,15311,United Kingdom
82567,"AIRLINE LOUNGE,METAL SIGN",2,12-01-2010 09:41,2.1,15311,United Kingdom
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,12-01-2010 09:41,1.25,15311,United Kingdom
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,12-01-2010 09:41,1.25,15311,United Kingdom
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,12-01-2010 09:41,1.25,15311,United Kingdom
71270,PHOTO CLIP LINE,1,12-01-2010 09:41,1.25,15311,United Kingdom
22262,FELT EGG COSY CHICKEN,1,12-01-2010 09:41,0.85,15311,United Kingdom
22637,PIGGY BANK RETROSPOT ,1,12-01-2010 09:41,2.55,15311,United Kingdom
21934,SKULL SHOULDER BAG,10,12-01-2010 09:41,1.65,15311,United Kingdom
21169,YOU'RE CONFUSING ME METAL SIGN ,3,12-01-2010 09:41,1.69,15311,United Kingdom
21166,COOK WITH WINE METAL SIGN ,1,12-01-2010 09:41,1.95,15311,United Kingdom
21175,GIN + TONIC DIET METAL SIGN,2,12-01-2010 09:41,2.1,15311,United Kingdom
37444A,YELLOW BREAKFAST CUP AND SAUCER,1,12-01-2010 09:41,2.95,15311,United Kingdom
37444C,PINK BREAKFAST CUP AND SAUCER ,1,12-01-2010 09:41,2.95,15311,United Kingdom
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,12-01-2010 09:41,2.95,15311,United Kingdom
22083,PAPER CHAIN KIT RETROSPOT,1,12-01-2010 09:41,2.95,15311,United Kingdom
84971S,SMALL HEART FLOWERS HOOK ,6,12-01-2010 09:41,0.85,15311,United Kingdom
71270,PHOTO CLIP LINE,3,12-01-2010 09:41,1.25,15311,United Kingdom
47580,TEA TIME DES TEA COSY,2,12-01-2010 09:41,2.55,15311,United Kingdom
22261,FELT EGG COSY WHITE RABBIT ,1,12-01-2010 09:41,0.85,15311,United Kingdom
84832,ZINC WILLIE WINKIE  CANDLE STICK,1,12-01-2010 09:41,0.85,15311,United Kingdom
22644,CERAMIC CHERRY CAKE MONEY BANK,1,12-01-2010 09:41,1.45,15311,United Kingdom
21533,RETROSPOT LARGE MILK JUG,1,12-01-2010 09:41,4.95,15311,United Kingdom
21557,SET OF 6 FUNKY BEAKERS,2,12-01-2010 09:41,2.95,15311,United Kingdom
15056BL,EDWARDIAN PARASOL BLACK,2,12-01-2010 09:41,5.95,15311,United Kingdom
15056N,EDWARDIAN PARASOL NATURAL,2,12-01-2010 09:41,5.95,15311,United Kingdom
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,12-01-2010 09:41,1.45,15311,United Kingdom
22176,BLUE OWL SOFT TOY,1,12-01-2010 09:41,2.95,15311,United Kingdom
22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,12-01-2010 09:41,1.95,15311,United Kingdom
21731,RED TOADSTOOL LED NIGHT LIGHT,2,12-01-2010 09:41,1.65,15311,United Kingdom
22778,GLASS CLOCHE SMALL,3,12-01-2010 09:41,3.95,15311,United Kingdom
22719,GUMBALL MONOCHROME COAT RACK,36,12-01-2010 09:41,1.06,15311,United Kingdom
21523,DOORMAT FANCY FONT HOME SWEET HOME,10,12-01-2010 09:41,6.75,15311,United Kingdom
D,Discount,-1,12-01-2010 09:41,27.5,14527,United Kingdom
10002,INFLATABLE POLITICAL GLOBE ,12,12-01-2010 09:45,0.85,16098,United Kingdom
21912,VINTAGE SNAKES & LADDERS,8,12-01-2010 09:45,3.75,16098,United Kingdom
21832,CHOCOLATE CALCULATOR,12,12-01-2010 09:45,1.65,16098,United Kingdom
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12-01-2010 09:45,1.95,16098,United Kingdom
22379,RECYCLING BAG RETROSPOT ,10,12-01-2010 09:45,2.1,16098,United Kingdom
22381,TOY TIDY PINK POLKADOT,50,12-01-2010 09:45,1.85,16098,United Kingdom
22798,ANTIQUE GLASS DRESSING TABLE POT,8,12-01-2010 09:45,2.95,16098,United Kingdom
22726,ALARM CLOCK BAKELIKE GREEN,4,12-01-2010 09:45,3.75,16098,United Kingdom
22926,IVORY GIANT GARDEN THERMOMETER,12,12-01-2010 09:45,5.95,16098,United Kingdom
22839,3 TIER CAKE TIN GREEN AND CREAM,2,12-01-2010 09:45,14.95,16098,United Kingdom
22838,3 TIER CAKE TIN RED AND CREAM,2,12-01-2010 09:45,14.95,16098,United Kingdom
22783,SET 3 WICKER OVAL BASKETS W LIDS,4,12-01-2010 09:45,16.95,16098,United Kingdom
35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,12-01-2010 09:49,4.65,15311,United Kingdom
82484,WOOD BLACK BOARD ANT WHITE FINISH,3,12-01-2010 09:53,6.45,18074,United Kingdom
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,12-01-2010 09:53,0.65,18074,United Kingdom
22464,HANGING METAL HEART LANTERN,12,12-01-2010 09:53,1.65,18074,United Kingdom
21324,HANGING MEDINA LANTERN SMALL,6,12-01-2010 09:53,2.95,18074,United Kingdom
22457,NATURAL SLATE HEART CHALKBOARD ,12,12-01-2010 09:53,2.95,18074,United Kingdom
22469,HEART OF WICKER SMALL,40,12-01-2010 09:53,1.45,18074,United Kingdom
22470,HEART OF WICKER LARGE,40,12-01-2010 09:53,2.55,18074,United Kingdom
22224,WHITE LOVEBIRD LANTERN,6,12-01-2010 09:53,2.95,18074,United Kingdom
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12-01-2010 09:53,12.75,18074,United Kingdom
22189,CREAM HEART CARD HOLDER,4,12-01-2010 09:53,3.95,18074,United Kingdom
22427,ENAMEL FLOWER JUG CREAM,3,12-01-2010 09:53,5.95,18074,United Kingdom
22428,ENAMEL FIRE BUCKET CREAM,6,12-01-2010 09:53,6.95,18074,United Kingdom
22424,ENAMEL BREAD BIN CREAM,8,12-01-2010 09:53,10.95,18074,United Kingdom
22783,SET 3 WICKER OVAL BASKETS W LIDS,1,12-01-2010 09:56,19.95,17420,United Kingdom
22961,JAM MAKING SET PRINTED,12,12-01-2010 09:56,1.45,17420,United Kingdom
22960,JAM MAKING SET WITH JARS,6,12-01-2010 09:56,4.25,17420,United Kingdom
22663,JUMBO BAG DOLLY GIRL DESIGN,10,12-01-2010 09:56,1.95,17420,United Kingdom
85049A,TRADITIONAL CHRISTMAS RIBBONS,12,12-01-2010 09:56,1.25,17420,United Kingdom
22168,ORGANISER WOOD ANTIQUE WHITE ,2,12-01-2010 09:56,8.5,17420,United Kingdom
22662,LUNCH BAG DOLLY GIRL DESIGN,10,12-01-2010 09:56,1.65,17420,United Kingdom
84880,WHITE WIRE EGG HOLDER,36,12-01-2010 09:57,4.95,16029,United Kingdom
85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,12-01-2010 09:57,1.65,16029,United Kingdom
85099B,JUMBO BAG RED RETROSPOT,100,12-01-2010 09:57,1.65,16029,United Kingdom
79321,CHILLI LIGHTS,192,12-01-2010 09:58,3.82,16029,United Kingdom
22780,LIGHT GARLAND BUTTERFILES PINK,192,12-01-2010 09:58,3.37,16029,United Kingdom
22779,WOODEN OWLS LIGHT GARLAND ,192,12-01-2010 09:58,3.37,16029,United Kingdom
22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,12-01-2010 09:58,1.45,16029,United Kingdom
21731,RED TOADSTOOL LED NIGHT LIGHT,432,12-01-2010 09:58,1.25,16029,United Kingdom
21754,HOME BUILDING BLOCK WORD,3,12-01-2010 09:59,5.95,16250,United Kingdom
21755,LOVE BUILDING BLOCK WORD,3,12-01-2010 09:59,5.95,16250,United Kingdom
21523,DOORMAT FANCY FONT HOME SWEET HOME,2,12-01-2010 09:59,7.95,16250,United Kingdom
21363,HOME SMALL WOOD LETTERS,3,12-01-2010 09:59,4.95,16250,United Kingdom
21411,GINGHAM HEART  DOORSTOP RED,3,12-01-2010 09:59,4.25,16250,United Kingdom
22318,FIVE HEART HANGING DECORATION,6,12-01-2010 09:59,2.95,16250,United Kingdom
22464,HANGING METAL HEART LANTERN,12,12-01-2010 09:59,1.65,16250,United Kingdom
22915,ASSORTED BOTTLE TOP  MAGNETS ,12,12-01-2010 09:59,0.42,16250,United Kingdom
22922,FRIDGE MAGNETS US DINER ASSORTED,12,12-01-2010 09:59,0.85,16250,United Kingdom
22969,HOMEMADE JAM SCENTED CANDLES,12,12-01-2010 09:59,1.45,16250,United Kingdom
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,12-01-2010 09:59,0.85,16250,United Kingdom
21115,ROSE CARAVAN DOORSTOP,4,12-01-2010 09:59,6.75,16250,United Kingdom
22469,HEART OF WICKER SMALL,12,12-01-2010 09:59,1.65,16250,United Kingdom
22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12-01-2010 09:59,1.65,16250,United Kingdom
22941,CHRISTMAS LIGHTS 10 REINDEER,2,12-01-2010 10:19,8.5,17511,United Kingdom
22960,JAM MAKING SET WITH JARS,12,12-01-2010 10:19,3.75,17511,United Kingdom
22961,JAM MAKING SET PRINTED,12,12-01-2010 10:19,1.45,17511,United Kingdom
22962,JAM JAR WITH PINK LID,48,12-01-2010 10:19,0.72,17511,United Kingdom
22963,JAM JAR WITH GREEN LID,48,12-01-2010 10:19,0.72,17511,United Kingdom
22968,ROSE COTTAGE KEEPSAKE BOX ,8,12-01-2010 10:19,8.5,17511,United Kingdom
84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,12-01-2010 10:19,0.64,17511,United Kingdom
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,12-01-2010 10:19,2.55,17511,United Kingdom
20668,DISCO BALL CHRISTMAS DECORATION,288,12-01-2010 10:19,0.1,17511,United Kingdom
85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12-01-2010 10:19,2.55,17511,United Kingdom
22197,SMALL POPCORN HOLDER,100,12-01-2010 10:19,0.72,17511,United Kingdom
22198,LARGE POPCORN HOLDER ,50,12-01-2010 10:19,1.45,17511,United Kingdom
21533,RETROSPOT LARGE MILK JUG,12,12-01-2010 10:19,4.25,17511,United Kingdom
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,12-01-2010 10:19,0.64,17511,United Kingdom
21094,SET/6 RED SPOTTY PAPER PLATES,96,12-01-2010 10:19,0.64,17511,United Kingdom
21086,SET/6 RED SPOTTY PAPER CUPS,48,12-01-2010 10:19,0.65,17511,United Kingdom
21786,POLKADOT RAIN HAT ,144,12-01-2010 10:19,0.32,17511,United Kingdom
22654,DELUXE SEWING KIT ,40,12-01-2010 10:19,4.95,17511,United Kingdom
21485,RETROSPOT HEART HOT WATER BOTTLE,24,12-01-2010 10:19,4.25,17511,United Kingdom
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,12-01-2010 10:19,3.39,17511,United Kingdom
84030E,ENGLISH ROSE HOT WATER BOTTLE,24,12-01-2010 10:19,3.75,17511,United Kingdom
22174,PHOTO CUBE,48,12-01-2010 10:19,1.48,17511,United Kingdom
22969,HOMEMADE JAM SCENTED CANDLES,96,12-01-2010 10:19,1.25,17511,United Kingdom
85099B,JUMBO BAG RED RETROSPOT,100,12-01-2010 10:19,1.65,17511,United Kingdom
22556,PLASTERS IN TIN CIRCUS PARADE ,-12,12-01-2010 10:24,1.65,17548,United Kingdom
21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,12-01-2010 10:24,0.29,17548,United Kingdom
21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,12-01-2010 10:24,0.29,17548,United Kingdom
21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,12-01-2010 10:24,0.29,17548,United Kingdom
21484,CHICK GREY HOT WATER BOTTLE,-12,12-01-2010 10:24,3.45,17548,United Kingdom
22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,12-01-2010 10:24,1.65,17548,United Kingdom
22553,PLASTERS IN TIN SKULLS,-24,12-01-2010 10:24,1.65,17548,United Kingdom
22150,3 STRIPEY MICE FELTCRAFT,6,12-01-2010 10:29,1.95,13705,United Kingdom
22619,SET OF 6 SOLDIER SKITTLES,4,12-01-2010 10:29,3.75,13705,United Kingdom
21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12-01-2010 10:29,1.25,13705,United Kingdom
21889,WOODEN BOX OF DOMINOES,12,12-01-2010 10:29,1.25,13705,United Kingdom
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,12-01-2010 10:29,165,13705,United Kingdom
22127,PARTY CONES CARNIVAL ASSORTED,12,12-01-2010 10:29,1.25,13705,United Kingdom
22128,PARTY CONES CANDY ASSORTED,12,12-01-2010 10:29,1.25,13705,United Kingdom
22502,PICNIC BASKET WICKER SMALL,4,12-01-2010 10:29,5.95,13705,United Kingdom
84879,ASSORTED COLOUR BIRD ORNAMENT,16,12-01-2010 10:29,1.69,13705,United Kingdom
22338,STAR DECORATION PAINTED ZINC ,24,12-01-2010 10:29,0.65,13705,United Kingdom
22180,RETROSPOT LAMP,8,12-01-2010 10:37,9.95,13747,United Kingdom
21506,"FANCY FONT BIRTHDAY CARD, ",24,12-01-2010 10:39,0.42,13408,United Kingdom
22633,HAND WARMER UNION JACK,96,12-01-2010 10:39,1.85,13408,United Kingdom
22866,HAND WARMER SCOTTY DOG DESIGN,96,12-01-2010 10:39,1.85,13408,United Kingdom
22865,HAND WARMER OWL DESIGN,96,12-01-2010 10:39,1.85,13408,United Kingdom
22632,HAND WARMER RED RETROSPOT,96,12-01-2010 10:39,1.85,13408,United Kingdom
21485,RETROSPOT HEART HOT WATER BOTTLE,12,12-01-2010 10:39,4.95,13408,United Kingdom
22349,DOG BOWL CHASING BALL DESIGN,12,12-01-2010 10:39,3.75,13408,United Kingdom
22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,12-01-2010 10:39,1.25,13408,United Kingdom
85152,HAND OVER THE CHOCOLATE   SIGN ,12,12-01-2010 10:39,2.1,13408,United Kingdom
85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12-01-2010 10:39,2.55,13408,United Kingdom
22652,TRAVEL SEWING KIT,20,12-01-2010 10:39,1.65,13408,United Kingdom
22188,BLACK HEART CARD HOLDER,8,12-01-2010 10:47,3.95,13767,United Kingdom
84879,ASSORTED COLOUR BIRD ORNAMENT,32,12-01-2010 10:47,1.69,13767,United Kingdom
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12-01-2010 10:47,0.55,13767,United Kingdom
84991,60 TEATIME FAIRY CAKE CASES,24,12-01-2010 10:47,0.55,13767,United Kingdom
21212,PACK OF 72 RETROSPOT CAKE CASES,24,12-01-2010 10:47,0.55,13767,United Kingdom
21484,CHICK GREY HOT WATER BOTTLE,8,12-01-2010 10:47,3.45,13767,United Kingdom
21314,SMALL GLASS HEART TRINKET POT,8,12-01-2010 10:47,2.1,13767,United Kingdom
22730,ALARM CLOCK BAKELIKE IVORY,4,12-01-2010 10:47,3.75,13767,United Kingdom
22727,ALARM CLOCK BAKELIKE RED ,8,12-01-2010 10:47,3.75,13767,United Kingdom
22729,ALARM CLOCK BAKELIKE ORANGE,8,12-01-2010 10:47,3.75,13767,United Kingdom
22726,ALARM CLOCK BAKELIKE GREEN,8,12-01-2010 10:47,3.75,13767,United Kingdom
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,12-01-2010 10:47,3.95,13767,United Kingdom
22867,HAND WARMER BIRD DESIGN,48,12-01-2010 10:47,2.1,13767,United Kingdom
22866,HAND WARMER SCOTTY DOG DESIGN,48,12-01-2010 10:47,2.1,13767,United Kingdom
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-2010 10:51,2.55,17850,United Kingdom
71053,WHITE METAL LANTERN,6,12-01-2010 10:51,3.39,17850,United Kingdom
84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-2010 10:51,2.75,17850,United Kingdom
15056BL,EDWARDIAN PARASOL BLACK,6,12-01-2010 10:51,4.95,17850,United Kingdom
20679,EDWARDIAN PARASOL RED,6,12-01-2010 10:51,4.95,17850,United Kingdom
37370,RETRO COFFEE MUGS ASSORTED,6,12-01-2010 10:51,1.06,17850,United Kingdom
21871,SAVE THE PLANET MUG,6,12-01-2010 10:51,1.06,17850,United Kingdom
21071,VINTAGE BILLBOARD DRINK ME MUG,6,12-01-2010 10:51,1.06,17850,United Kingdom
21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12-01-2010 10:51,1.06,17850,United Kingdom
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12-01-2010 10:51,4.95,17850,United Kingdom
82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12-01-2010 10:51,6.95,17850,United Kingdom
82482,WOODEN PICTURE FRAME WHITE FINISH,6,12-01-2010 10:51,2.1,17850,United Kingdom
82494L,WOODEN FRAME ANTIQUE WHITE ,12,12-01-2010 10:51,2.55,17850,United Kingdom
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12-01-2010 10:51,3.39,17850,United Kingdom
84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12-01-2010 10:51,3.39,17850,United Kingdom
22752,SET 7 BABUSHKA NESTING BOXES,2,12-01-2010 10:51,7.65,17850,United Kingdom
22803,IVORY EMBROIDERED QUILT ,2,12-01-2010 10:51,35.75,17850,United Kingdom
21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12-01-2010 10:51,4.25,17850,United Kingdom
35004B,SET OF 3 BLACK FLYING DUCKS,12,12-01-2010 10:51,4.65,17924,United Kingdom
35004C,SET OF 3 COLOURED  FLYING DUCKS,48,12-01-2010 10:51,4.65,17924,United Kingdom
21980,PACK OF 12 RED RETROSPOT TISSUES ,24,12-01-2010 10:52,0.29,13448,United Kingdom
21844,RED RETROSPOT MUG,6,12-01-2010 10:52,2.95,13448,United Kingdom
22468,BABUSHKA LIGHTS STRING OF 10,4,12-01-2010 10:52,6.75,13448,United Kingdom
22637,PIGGY BANK RETROSPOT ,8,12-01-2010 10:52,2.55,13448,United Kingdom
22752,SET 7 BABUSHKA NESTING BOXES,6,12-01-2010 10:52,8.5,13448,United Kingdom
48185,DOORMAT FAIRY CAKE,2,12-01-2010 10:52,7.95,13448,United Kingdom
22632,HAND WARMER RED RETROSPOT,12,12-01-2010 10:52,2.1,13448,United Kingdom
22866,HAND WARMER SCOTTY DOG DESIGN,12,12-01-2010 10:52,2.1,13448,United Kingdom
22865,HAND WARMER OWL DESIGN,12,12-01-2010 10:52,2.1,13448,United Kingdom
21232,STRAWBERRY CERAMIC TRINKET BOX,12,12-01-2010 10:52,1.25,13448,United Kingdom
